Company,COACode,CategoryID,Description,Type,NormalBalance,ParentCategory,ConsolidationType,NetIncome,CNIsCashBank,MatchingEnabled
EPIC07,MAIN,ASSETS,ASSETS,B,D,,,FALSE,FALSE,FALSE
EPIC07,MAIN,LIAB_EQUIT,LIABILITIES AND EQUITY,B,C,,,FALSE,FALSE,FALSE
EPIC07,MAIN,NET_INCOME,NET INCOME,I,C,,,FALSE,FALSE,FALSE
EPIC07,MAIN,GROS_PROFI,GROSS PROFIT,I,C,NET_INCOME,,FALSE,FALSE,FALSE
EPIC07,MAIN,NET_INC_BT,NET INCOME BEFORE TAXES,I,C,NET_INCOME,,FALSE,FALSE,FALSE
EPIC07,MAIN,TAX_PROVIS,TAX PROVISIONS,I,D,NET_INCOME,,FALSE,FALSE,FALSE
EPIC07,MAIN,C_O_S,COST OF SALES,I,D,GROS_PROFI,,FALSE,FALSE,FALSE
EPIC07,MAIN,SALES_REV,SALES/REVENUE,I,C,GROS_PROFI,,FALSE,FALSE,FALSE
EPIC07,MAIN,COS_GDS,Cost of Goods and Services,I,D,C_O_S,,FALSE,FALSE,FALSE
EPIC07,MAIN,COS_LAB,Direct Labour,I,D,C_O_S,,FALSE,FALSE,FALSE
EPIC07,MAIN,COS_EDU,Education and Development,I,D,C_O_S,,FALSE,FALSE,FALSE
EPIC07,MAIN,COS_OPR,Operating Adjustments,I,D,C_O_S,,FALSE,FALSE,FALSE
EPIC07,MAIN,C_O_SPR,COS-Products & Licensing,I,D,COS_GDS,,FALSE,FALSE,FALSE
EPIC07,MAIN,C_O_SPS,COS-Professional Services,I,D,COS_GDS,,FALSE,FALSE,FALSE
EPIC07,MAIN,C_O_SSU,COS-Support Services,I,D,COS_GDS,,FALSE,FALSE,FALSE
EPIC07,MAIN,CUR_ASSETS,CURRENT ASSETS,B,D,ASSETS,,FALSE,FALSE,FALSE
EPIC07,MAIN,LIABILITIE,LIABILITIES,B,C,LIAB_EQUIT,,FALSE,FALSE,FALSE
EPIC07,MAIN,CUR_LIABIL,CURRENT LIABILITIES,B,C,LIABILITIE,,FALSE,FALSE,FALSE
EPIC07,MAIN,LT_LIABIL,LONG TERM LIABILITIES,B,C,LIABILITIE,,FALSE,FALSE,FALSE
EPIC07,MAIN,OPR_INCOME,OPERATING INCOME,I,C,NET_INC_BT,,FALSE,FALSE,FALSE
EPIC07,MAIN,X_INC_EXP,OTHER INCOME/EXPENSES,I,D,NET_INC_BT,,FALSE,FALSE,FALSE
EPIC07,MAIN,DIVI,Dividends in the Year,I,D,X_INC_EXP,,FALSE,FALSE,FALSE
EPIC07,MAIN,EQUITY,EQUITY,B,C,LIAB_EQUIT,,FALSE,FALSE,FALSE
EPIC07,MAIN,EXPENSES,EXPENSES,I,D,OPR_INCOME,,FALSE,FALSE,FALSE
EPIC07,MAIN,EXP_OTH,Expenses-Other,I,D,EXPENSES,,FALSE,FALSE,FALSE
EPIC07,MAIN,EXP-OFE,Expenses Office,I,D,EXPENSES,,FALSE,FALSE,FALSE
EPIC07,MAIN,F_ASSETS,Fixed Assets,B,D,ASSETS,,FALSE,FALSE,FALSE
EPIC07,MAIN,EXP-MGT,Management Salaries,I,D,EXPENSES,,FALSE,FALSE,FALSE
EPIC07,MAIN,EXP-MAR,Marketing Expenses,I,D,EXPENSES,,FALSE,FALSE,FALSE
EPIC07,MAIN,EXP_OPR,Operating Costs,I,D,EXPENSES,,FALSE,FALSE,FALSE
EPIC07,MAIN,EXP-PRF,Professional Expenses,I,D,EXPENSES,,FALSE,FALSE,FALSE
EPIC07,MAIN,PROFIT,PROFIT,B,C,EQUITY,,TRUE,FALSE,FALSE
EPIC07,MAIN,PROP_EQUIP,PROPERTY AND EQUIPMENT,B,D,ASSETS,,FALSE,FALSE,FALSE
EPIC07,MAIN,EXP-REC,Recruitment costs,I,D,EXPENSES,,FALSE,FALSE,FALSE
EPIC07,MAIN,SALES_REPR,Sales-Products & Licensing,I,C,SALES_REV,,FALSE,FALSE,FALSE
EPIC07,MAIN,SALES_REPS,Sales-Professional Services,I,C,SALES_REV,,FALSE,FALSE,FALSE
EPIC07,MAIN,SALES_RESU,Sales-Support Services,I,C,SALES_REV,,FALSE,FALSE,FALSE
EPIC07,MAIN,EXP-TRL,Travelling Expenses,I,D,EXPENSES,,FALSE,FALSE,FALSE
EPIC07,MAIN,EXP-MTR,Vehicle Expenses,I,D,EXPENSES,,FALSE,FALSE,FALSE
