Company,TaxCode,SalesTRC#RateCode,TaxRate#EffectiveFrom,TaxRate#RateType,TaxRate#TaxPercent,TaxRate#TaxAmount,TaxRate#DeductPercent,TaxRate#CurrencyCode,TaxRate#MinAmount,TaxRate#MaxAmount,TaxRate#CentCode,TaxRate#CompMethod,TaxRate#DspTaxPercent,TaxRate#DisableDeduct
EPIC07,APD,L,01/01/2000,,0,,,GBP,,,,,,
EPIC07,APD,M,01/01/2000,,0,,,GBP,,,,,,
EPIC07,APD,N,01/01/2000,,0,,,GBP,,,,,,
EPIC07,APD,S,01/12/2008,,15,,,GBP,,,,,,
EPIC07,APD,S,01/01/2010,,17.5,,,GBP,,,,,,
EPIC07,APD,S,04/01/2011,,20,,,GBP,,,,,,
EPIC07,APEG,S,01/01/2000,,0,,,GBP,,,,,,
EPIC07,APES,S,01/01/2000,,0,,,GBP,,,,,,
EPIC07,API,S,01/01/2000,,0,,,GBP,,,,,,
EPIC07,APW,S,01/01/2000,,0,,,GBP,,,,,,
EPIC07,ARD,(R),01/01/2000,,0,,,GBP,,,,,,
EPIC07,ARD,L,01/01/2000,,0,,,GBP,,,,,,
EPIC07,ARD,M,01/01/2000,,0,,,GBP,,,,,,
EPIC07,ARD,N,01/01/2000,,0,,,GBP,,,,,,
EPIC07,ARD,R,01/01/2000,,0,,,GBP,,,,,,
EPIC07,ARD,S,01/12/2008,,15,,,GBP,,,,,,
EPIC07,ARD,S,01/01/2010,,17.5,,,GBP,,,,,,
EPIC07,ARD,S,04/01/2011,,20,,,GBP,,,,,,
EPIC07,AREG,S,01/01/2000,,0,,,GBP,,,,,,
EPIC07,ARES,S,01/01/2000,,0,,,GBP,,,,,,
EPIC07,ARI,S,01/01/2000,,0,,,GBP,,,,,,
EPIC07,ARW,S,01/01/2000,,0,,,GBP,,,,,,
EPIC07,RW00,RW00,01/01/2000,,0,,,GBP,,,,,,
EPIC07,APDR,R,01/01/2000,,0,,,GBP,,,,,,
EPIC07,UK00,UK00,01/01/2000,,0,,,GBP,,,,,,
EPIC07,UK01,UK01,01/01/2000,,0,,,GBP,,,,,,
